Id,Price
4567,159699.83
5925,125706.97
960,145922.1
3848,109517.484
746,186318.67
868,351830.47
672,118984.32
2471,202385.52
4510,126308.98
8354,242479.77
6393,176294.67
13270,217451.69
5250,291038.8
16751,166051.28
11404,127304.336
10588,356740.6
14925,197929.52
6791,207060.98
16097,191709.84
16428,380632.47
6945,327665.12
3190,185855.56
15709,428938.56
13155,153676.11
7675,199890.72
14686,243311.7
609,157549.38
11155,161295.31
10869,209910.61
15742,182739.92
9245,194967.95
3340,165292.62
2359,274914.16
8070,199046.2
13707,135691.08
16079,267717.16
15937,275705.8
14090,188517.9
9008,218501.17
16384,173874.67
11657,246787.8
13151,150797.84
8990,153806.69
11857,180862.8
1565,147133.34
8174,98648.67
9247,242221.12
10478,209257.31
15509,147501.36
8306,215412.31
6642,186746.03
7472,232710.8
15989,130447.0
13682,137305.4
163,216505.36
7076,183983.42
7478,327969.25
3029,183458.8
1814,141405.89
10057,126607.03
15100,193973.78
12694,224496.6
6291,186553.34
12603,187156.5
3218,226621.12
13456,127330.35
10170,243138.53
4530,159730.52
13329,163596.9
4820,149841.4
10896,173202.66
13416,118372.99
2701,228808.97
11265,331312.78
9189,260582.23
1858,194309.58
14536,244132.83
6199,273255.06
14730,149603.66
7510,259351.45
15505,162688.02
7446,189277.45
14016,195516.66
14113,106343.19
8721,315446.62
6193,301687.84
5717,174292.45
5427,305639.1
9520,535324.1
6869,100268.34
1658,156474.42
6639,224561.06
6283,185587.61
6257,128517.21
15235,164519.27
902,232913.52
8932,193803.67
16469,324914.53
2825,279968.94
6450,441794.4
11366,177850.98
3801,381836.56
11385,199612.28
1079,200760.0
3202,258374.16
676,221388.62
6185,288887.75
7730,161227.62
2573,180204.12
10978,207523.3
10962,253448.8
8870,191445.56
8496,179196.6
5517,169720.86
927,178399.7
13675,209852.8
1499,229876.36
15536,355915.4
8602,341468.16
12137,465889.03
9865,263415.97
16353,281676.56
15908,211470.27
3944,181589.62
10359,195979.7
15158,220902.22
3259,235687.28
7220,317433.38
13843,203621.7
16736,183289.6
702,253986.1
16401,86602.14
12134,182065.62
6918,233632.14
11792,131524.66
3798,116204.65
10395,135775.27
11099,143986.14
7090,193754.86
11260,185397.33
9647,210126.84
2903,387463.97
2071,184668.81
8604,185461.12
9346,216750.75
3945,201670.8
3420,131973.86
10842,117849.92
725,159178.83
13931,188815.88
16330,245670.5
9066,427048.4
3326,307394.03
1556,263730.28
6579,98551.66
13877,145094.72
9857,337449.66
7302,247799.69
5684,197392.44
6513,235272.42
11342,114556.78
16561,224167.0
6885,170502.9
9308,177972.94
2559,176634.45
6648,171427.17
15260,163241.05
5113,189877.0
16492,196836.11
12034,277034.06
7248,212683.45
2171,200428.75
10594,163705.48
13241,200174.31
7032,138001.73
4884,170696.64
903,199911.8
162,170396.94
6566,250618.28
8249,143729.9
13106,178343.77
256,132585.38
7976,168991.88
8575,166039.19
7591,281065.16
3204,203570.86
15804,176772.6
1525,324019.9
9038,207471.81
13628,200327.2
10016,204402.67
10208,217161.92
2008,183759.14
13029,207376.28
5099,125507.2
9923,291850.8
9461,124433.87
11086,182276.05
15057,260327.5
10689,173116.23
2053,216866.12
16630,168561.28
4985,160618.9
13881,255246.25
13225,196794.4
5779,70270.03
10262,180057.81
10762,214941.11
9513,198965.38
11128,166948.27
2074,298973.44
933,199830.39
2780,179809.34
6594,113686.07
15394,253002.58
14863,131021.484
6698,199387.98
1611,247815.22
174,181273.95
5160,236071.28
3295,316709.16
4559,364778.4
8254,168507.55
10228,103324.3
13924,128369.79
15341,239079.22
4353,175144.31
4334,73431.46
1872,160273.6
7823,182299.48
310,164021.03
3704,245462.94
11615,309789.62
6605,211816.81
3381,186061.23
2143,141423.83
3191,257142.55
13980,135488.45
15613,165410.12
10943,313364.78
9654,132015.67
16053,400179.28
14931,221603.61
8299,229303.94
2147,163226.1
11567,323194.94
5905,129617.305
11160,119606.21
8275,147558.69
16398,275198.22
11229,180270.23
10309,159130.28
7340,267136.0
7653,147619.77
272,202692.12
9831,202263.61
5016,122760.125
5968,66875.49
796,237741.5
12123,125262.914
16629,182026.86
2637,165033.95
6194,210465.2
6216,385113.72
14346,174123.7
6428,131453.75
2891,223915.39
84,169743.75
9260,218202.9
15250,150661.25
2348,200520.27
10427,289840.66
13230,257543.1
1691,189304.61
8803,121971.62
5464,223029.67
10559,111569.31
16787,279949.25
4278,154459.61
6183,169985.73
12775,159062.89
10104,177464.88
13663,173861.38
9404,273061.6
14724,207769.38
10040,183796.03
4646,187110.3
4754,150996.12
3310,219806.83
2003,180337.97
7312,203368.23
10921,213882.72
13419,302572.03
10105,163923.9
2196,386329.4
12659,240117.03
4380,259087.55
10847,142071.39
